Area/volume,Max/min,org_coating_HAcceptors,org_coating_LogP,common_spin,Eff_anisotropy_const,Magnetic_anisotropy,Magnetocrystalline_anisotropy,Anisotropy constant ,Crystalline,MAE,Curie_temperature,Spehricity,Exchange_constant,Electronegativity core,Space group,Demagnetization_factors,Saturation_magnetization,Coercivity,Remanence_magnetization,Interdomain_coupling,M_magnetic_susceptibility
0.136,0.000,0.111,0.653,0.400,0.512,0.034,0.038,0.693,0.000,1.000,0.299,1.000,0.636,0.867,1.000,1.000,0.081,0.258,0.300,1.000,1.000
0.136,0.000,0.111,0.653,0.400,0.512,0.034,0.038,0.693,0.000,1.000,0.299,1.000,0.636,0.867,1.000,1.000,0.093,0.366,0.286,1.000,1.000
0.136,0.000,0.111,0.653,0.400,0.512,0.034,0.038,0.693,0.000,1.000,0.299,1.000,0.636,0.867,1.000,1.000,0.070,1.459,0.143,1.000,1.000
0.136,0.000,0.111,0.653,0.400,0.512,0.034,0.038,0.693,0.000,1.000,0.299,1.000,0.636,0.867,1.000,1.000,0.080,0.366,0.286,1.000,1.000
0.136,0.000,0.111,0.653,0.400,0.512,0.034,0.038,0.693,0.000,1.000,0.299,1.000,0.636,0.867,1.000,1.000,0.084,0.439,0.308,1.000,1.000
0.125,0.000,0.000,0.330,0.400,2.071,0.000,0.038,0.669,0.000,0.760,0.289,1.000,0.636,0.869,0.618,1.000,0.108,-5.199,0.000,0.000,0.067
0.125,0.000,0.000,0.330,0.400,2.071,0.000,0.038,0.669,0.000,0.760,0.289,1.000,0.636,0.869,0.618,1.000,0.108,-5.199,0.000,0.000,0.067
0.125,0.000,0.000,0.330,0.400,2.071,0.000,0.038,0.669,0.000,0.760,0.289,1.000,0.636,0.869,0.618,1.000,0.108,-5.199,0.000,0.000,0.067
0.125,0.000,0.000,0.330,0.400,2.071,0.000,0.038,0.669,0.000,0.760,0.289,1.000,0.636,0.869,0.618,1.000,0.108,-5.199,0.000,0.000,0.067
0.125,0.000,0.000,0.330,0.400,2.071,0.000,0.038,0.669,0.000,0.760,0.289,1.000,0.636,0.869,0.618,1.000,0.108,-5.199,0.000,0.000,0.067
0.125,0.000,0.111,0.944,0.400,2.071,0.000,0.038,0.669,0.000,0.760,0.289,1.000,0.636,0.869,0.618,1.000,0.102,-5.199,0.000,0.000,0.067
0.125,0.000,0.111,0.944,0.400,2.071,0.000,0.038,0.669,0.000,0.760,0.289,1.000,0.636,0.869,0.618,1.000,0.102,-5.199,0.000,0.000,0.067
0.125,0.000,0.111,0.944,0.400,2.071,0.000,0.038,0.669,0.000,0.760,0.289,1.000,0.636,0.869,0.618,1.000,0.102,-5.199,0.000,0.000,0.067
0.125,0.000,0.111,0.944,0.400,2.071,0.000,0.038,0.669,0.000,0.760,0.289,1.000,0.636,0.869,0.618,1.000,0.102,-5.199,0.000,0.000,0.067
0.125,0.000,0.111,0.944,0.400,2.071,0.000,0.038,0.669,0.000,0.760,0.289,1.000,0.636,0.869,0.618,1.000,0.102,-5.199,0.000,0.000,0.067
0.136,0.000,0.000,0.330,0.400,0.224,0.000,0.002,0.669,0.000,0.760,0.289,1.000,0.636,0.869,1.000,1.000,0.065,0.798,0.054,0.000,0.067
0.136,0.000,0.000,0.330,0.400,0.224,0.000,0.002,0.669,0.000,0.760,0.289,1.000,0.636,0.869,1.000,1.000,0.065,0.798,0.054,0.000,0.067
0.136,0.000,0.000,0.330,0.400,0.224,0.000,0.002,0.669,0.000,0.760,0.289,1.000,0.636,0.869,1.000,1.000,0.065,0.798,0.054,0.000,0.067
0.195,0.000,0.000,0.330,0.400,0.224,0.000,0.002,0.669,0.000,0.760,0.289,1.000,0.636,0.869,1.000,1.000,0.082,0.752,0.066,0.000,0.067
0.195,0.000,0.000,0.330,0.400,0.224,0.000,0.002,0.669,0.000,0.760,0.289,1.000,0.636,0.869,1.000,1.000,0.082,0.752,0.066,0.000,0.067
0.195,0.000,0.000,0.330,0.400,0.224,0.000,0.002,0.669,0.000,0.760,0.289,1.000,0.636,0.869,1.000,1.000,0.082,0.752,0.066,0.000,0.067
0.125,0.000,1.000,0.326,0.400,1.707,0.000,0.000,0.669,0.000,0.760,0.289,1.000,0.636,0.869,1.000,1.000,0.074,0.499,0.044,0.000,0.067
0.125,0.000,1.000,0.326,0.400,1.707,0.000,0.000,0.669,0.000,0.760,0.289,1.000,0.636,0.869,1.000,1.000,0.074,0.499,0.044,0.000,0.067
0.125,0.000,1.000,0.326,0.400,1.707,0.000,0.000,0.669,0.000,0.760,0.289,1.000,0.636,0.869,1.000,1.000,0.074,0.499,0.044,0.000,0.067
