Area/volume,Max/min,org_coating_HAcceptors,org_coating_LogP,common_spin,Eff_anisotropy_const,Magnetic_anisotropy,Magnetocrystalline_anisotropy,Anisotropy constant ,Crystalline,MAE,Curie_temperature,Spehricity,Exchange_constant,Electronegativity core,Space group,Demagnetization_factors,Saturation_magnetization,Coercivity,Remanence_magnetization,Interdomain_coupling,M_magnetic_susceptibility
0.136,0.000,0.111,0.653,0.400,0.020,0.034,0.038,1.000,0.0,1.000,0.299,1.0,0.636,0.867,1.0,1.000,-0.151,0.366,0.286,1.000,1.000
0.136,0.000,0.111,0.653,0.400,0.020,0.034,0.038,1.000,0.0,1.000,0.299,1.0,0.636,0.867,1.0,1.000,-0.058,0.439,0.308,1.000,1.000
0.125,0.000,0.000,0.330,0.400,0.147,0.000,0.038,0.952,0.0,0.760,0.289,1.0,0.636,0.869,0.6177777777777779,1.000,0.755,-5.199,0.000,0.000,0.067
0.125,0.000,0.000,0.330,0.400,0.147,0.000,0.038,0.952,0.0,0.760,0.289,1.0,0.636,0.869,0.6177777777777779,1.000,0.755,-5.199,0.000,0.000,0.067
0.125,0.000,0.000,0.330,0.400,0.147,0.000,0.038,0.952,0.0,0.760,0.289,1.0,0.636,0.869,0.6177777777777779,1.000,0.755,-5.199,0.000,0.000,0.067
0.125,0.000,0.000,0.330,0.400,0.147,0.000,0.038,0.952,0.0,0.760,0.289,1.0,0.636,0.869,0.6177777777777779,1.000,0.755,-5.199,0.000,0.000,0.067
0.125,0.000,0.000,0.330,0.400,0.147,0.000,0.038,0.952,0.0,0.760,0.289,1.0,0.636,0.869,0.6177777777777779,1.000,0.755,-5.199,0.000,0.000,0.067
0.125,0.000,0.111,0.944,0.400,0.147,0.000,0.038,0.952,0.0,0.760,0.289,1.0,0.636,0.869,0.6177777777777779,1.000,0.663,-5.199,0.000,0.000,0.067
0.125,0.000,0.111,0.944,0.400,0.147,0.000,0.038,0.952,0.0,0.760,0.289,1.0,0.636,0.869,0.6177777777777779,1.000,0.663,-5.199,0.000,0.000,0.067
0.125,0.000,0.111,0.944,0.400,0.147,0.000,0.038,0.952,0.0,0.760,0.289,1.0,0.636,0.869,0.6177777777777779,1.000,0.663,-5.199,0.000,0.000,0.067
0.125,0.000,0.111,0.944,0.400,0.147,0.000,0.038,0.952,0.0,0.760,0.289,1.0,0.636,0.869,0.6177777777777779,1.000,0.663,-5.199,0.000,0.000,0.067
0.125,0.000,0.111,0.944,0.400,0.147,0.000,0.038,0.952,0.0,0.760,0.289,1.0,0.636,0.869,0.6177777777777779,1.000,0.663,-5.199,0.000,0.000,0.067
0.136,0.000,0.000,0.330,0.400,0.008,0.000,0.002,0.952,0.0,0.760,0.289,1.0,0.636,0.869,1.0,1.000,-0.614,0.798,0.054,0.000,0.067
0.136,0.000,0.000,0.330,0.400,0.008,0.000,0.002,0.952,0.0,0.760,0.289,1.0,0.636,0.869,1.0,1.000,-0.614,0.798,0.054,0.000,0.067
0.136,0.000,0.000,0.330,0.400,0.008,0.000,0.002,0.952,0.0,0.760,0.289,1.0,0.636,0.869,1.0,1.000,-0.614,0.798,0.054,0.000,0.067
0.195,0.000,0.000,0.330,0.400,0.008,0.000,0.002,0.952,0.0,0.760,0.289,1.0,0.636,0.869,1.0,1.000,-0.094,0.752,0.066,0.000,0.067
0.195,0.000,0.000,0.330,0.400,0.008,0.000,0.002,0.952,0.0,0.760,0.289,1.0,0.636,0.869,1.0,1.000,-0.094,0.752,0.066,0.000,0.067
0.195,0.000,0.000,0.330,0.400,0.008,0.000,0.002,0.952,0.0,0.760,0.289,1.0,0.636,0.869,1.0,1.000,-0.094,0.752,0.066,0.000,0.067
0.125,0.000,1.000,0.326,0.400,0.105,0.000,0.000,0.952,0.0,0.760,0.289,1.0,0.636,0.869,1.0,1.000,-0.414,0.499,0.044,0.000,0.067
0.125,0.000,1.000,0.326,0.400,0.105,0.000,0.000,0.952,0.0,0.760,0.289,1.0,0.636,0.869,1.0,1.000,-0.414,0.499,0.044,0.000,0.067
0.125,0.000,1.000,0.326,0.400,0.105,0.000,0.000,0.952,0.0,0.760,0.289,1.0,0.636,0.869,1.0,1.000,-0.414,0.499,0.044,0.000,0.067
0.125,0.000,1.000,0.326,0.400,0.105,0.000,0.000,0.952,0.0,0.760,0.289,1.0,0.636,0.869,1.0,1.000,-0.414,0.499,0.044,0.000,0.067
0.125,0.000,1.000,0.326,0.400,0.105,0.000,0.000,0.952,0.0,0.760,0.289,1.0,0.636,0.869,1.0,1.000,-0.414,0.499,0.044,0.000,0.067
0.150,0.000,0.889,0.044,0.400,0.156,0.000,0.038,0.952,0.0,0.760,0.289,1.0,0.636,0.869,1.0,1.000,0.627,0.110,0.307,0.000,0.067
0.150,0.000,0.889,0.044,0.400,0.156,0.000,0.038,0.952,0.0,0.760,0.289,1.0,0.636,0.869,1.0,1.000,0.627,0.110,0.307,0.000,0.067
