,space_group_shell,coer_oe,exc_bias_oe,fc_field_t,h_range_max_koe,mr (emu/g),sat_em_g,shape,space_group_core,temperature_k,ver_shift_emu_g,sphericity,exc_dir,ver_s_dir,area/volume
388,0.982532751091703,0.1810773381294964,2.70805020110221,0.0,0.22135706340378195,0.06425229875786417,0.07844526643567125,0.33333333333333337,0.9912280701754386,0.06609195402298851,0.0,0.47218791796506093,0.0,1.0,0.164578111946533
389,0.982532751091703,0.1271223021582734,7.1049654482698426,0.0,0.22135706340378195,0.06009033715115341,0.07930337326997212,0.33333333333333337,0.9912280701754386,0.13793103448275862,0.0,0.47218791796506093,0.0,1.0,0.164578111946533
390,0.982532751091703,0.09878237410071943,3.808487641305324,0.0,0.22135706340378195,0.05605742861751895,0.07930337326997212,0.33333333333333337,0.9912280701754386,0.20977011494252873,0.0,0.47218791796506093,0.0,1.0,0.164578111946533
391,0.982532751091703,0.07775359712230216,3.808487641305324,0.0,0.22135706340378195,0.049556380061300205,0.07800321139981929,0.33333333333333337,0.9912280701754386,0.28160919540229884,0.0,0.47218791796506093,0.0,1.0,0.164578111946533
392,0.982532751091703,0.05488489208633093,0.0,0.0,0.22135706340378195,0.04682206807549604,0.07865329233489571,0.33333333333333337,0.9912280701754386,0.35344827586206895,0.0,0.47218791796506093,0.0,1.0,0.164578111946533
393,0.982532751091703,0.03385953237410072,0.0,0.0,0.22135706340378195,0.04340619454750766,0.0788847211477829,0.33333333333333337,0.9912280701754386,0.42528735632183906,0.0,0.47218791796506093,0.0,1.0,0.164578111946533
394,0.982532751091703,0.01646097122302159,0.0,0.0,0.22135706340378195,0.037610904984674946,0.07623499125641144,0.33333333333333337,0.9912280701754386,0.5689655172413792,0.0,0.47218791796506093,0.0,1.0,0.164578111946533
395,0.982532751091703,0.018405179856115117,0.0,0.0,0.22135706340378195,0.02621390546862397,0.07271675323577786,0.33333333333333337,0.9912280701754386,0.7126436781609194,0.0,0.47218791796506093,0.0,1.0,0.164578111946533
396,0.982532751091703,0.011793992805755398,6.813444599510896,0.0,0.22135706340378195,0.02419745120180674,0.06808817697803378,0.33333333333333337,0.9912280701754386,0.8563218390804597,0.0,0.47218791796506093,0.0,1.0,0.164578111946533
397,0.982532751091703,0.18905302158273382,6.590301048196686,0.014285714285714285,0.22135706340378195,0.081343765123407,0.0802134865790791,0.33333333333333337,0.9912280701754386,0.06609195402298851,0.0,0.47218791796506093,0.0,1.0,0.13577046063434448
398,0.982532751091703,0.13398151079136691,3.808487641305324,0.014285714285714285,0.22135706340378195,0.06613969995160508,0.0820025093124094,0.33333333333333337,0.9912280701754386,0.13793103448275862,0.0,0.47218791796506093,0.0,1.0,0.13577046063434448
399,0.982532751091703,0.10369255395683452,3.808487641305324,0.07142857142857142,0.22135706340378195,0.06135263752218099,0.0791135496369298,0.33333333333333337,0.9912280701754386,0.20977011494252873,0.0,0.47218791796506093,0.0,1.0,0.13577046063434448
400,0.982532751091703,0.07800719424460431,3.808487641305324,0.014285714285714285,0.22135706340378195,0.0551500241974512,0.07888732147152322,0.33333333333333337,0.9912280701754386,0.28160919540229884,0.0,0.47218791796506093,0.0,1.0,0.13577046063434448
401,0.982532751091703,0.05413848920863309,3.808487641305324,0.014285714285714285,0.22135706340378195,0.049979835457331825,0.07878330852191098,0.33333333333333337,0.9912280701754386,0.35344827586206895,0.0,0.47218791796506093,0.0,1.0,0.13577046063434448
